sub_n,disp_cond,block_n,trial_n,computer_n,set,distance,diag,d_identity,t_identity,c_identity,d,c,t,rt
50301,horizontal,2,25,1,a-b-da,9,2,1,3,2,9.641720369948118,9.583745296201613,9.554115124631332,31.9351
50301,horizontal,2,30,1,a-b-da,2,2,3,1,2,9.583745296201613,9.554115124631332,9.612942895043918,29.9342
50301,horizontal,2,32,1,a-b-db,2,1,3,1,2,8.75805486539004,8.968775896705692,9.008381151298051,34.1691
50301,horizontal,2,33,1,a-b-db,14,1,3,2,1,8.928370482070653,9.122697978977948,9.008381151298051,81.584
50301,horizontal,2,35,1,a-b-da,2,3,3,2,1,10.374970919531918,10.14434922650993,10.1664488988831,22.5822
50301,horizontal,2,36,1,a-b-db,14,2,3,2,1,9.779706112922021,9.698062123881511,9.725648768146183,15.88
50301,horizontal,2,37,1,a-b-db,9,3,3,2,1,10.12200262531368,10.209928872155912,10.099403514805813,18.5478
50301,horizontal,2,39,1,a-b-db,5,1,3,2,1,9.159396256314341,9.195433267319698,9.2308324215185,11.8955
50301,horizontal,2,40,1,a-b-db,9,2,2,1,3,9.583745296201613,9.725648768146183,9.75286007225774,9.72802
50301,horizontal,3,2,1,a-b-da,9,2,3,1,2,9.493504425640674,9.493504425640674,9.641720369948118,7.5774
50301,horizontal,3,3,1,a-b-db,2,2,1,2,3,9.554115124631332,9.641720369948118,9.698062123881511,13.7128
50301,horizontal,3,4,1,a-b-db,14,2,1,3,2,9.612942895043918,9.698062123881511,9.583745296201613,13.5126
50301,horizontal,3,5,1,a-b-db,2,3,1,2,3,10.14434922650993,10.099403514805813,10.030032398830032,10.9949
50301,horizontal,3,6,1,a-b-db,5,2,2,3,1,9.524039369902251,9.698062123881511,9.670089639932032,8.37766
50301,horizontal,3,7,1,a-b-da,2,2,2,3,1,9.779706112922021,9.725648768146183,9.698062123881511,13.9793
50301,horizontal,3,9,1,a-b-da,5,2,1,2,3,9.612942895043918,9.583745296201613,9.612942895043918,10.5284
50301,horizontal,3,10,1,a-b-db,2,1,2,1,3,9.366477614196022,9.398998655939582,9.265615906942239,8.44444
50301,horizontal,3,11,1,a-b-db,9,3,2,3,1,9.933628195194277,9.858147539228584,10.006363483536028,19.5144
50301,horizontal,3,12,1,a-b-db,5,1,1,3,2,9.366477614196022,9.2308324215185,9.265615906942239,11.6951
50301,horizontal,3,13,1,a-b-db,5,3,1,2,3,10.14434922650993,10.209928872155912,10.099403514805813,15.8137
50301,horizontal,3,14,1,a-b-db,9,2,2,3,1,9.554115124631332,9.554115124631332,9.583745296201613,9.57841
50301,horizontal,3,15,1,a-b-da,14,2,2,1,3,9.493504425640674,9.583745296201613,9.462496052568744,10.0948
50301,horizontal,3,17,1,a-b-da,5,3,2,1,3,10.273426268785073,10.14434922650993,10.18830703994748,13.263
50301,horizontal,3,18,1,a-b-da,2,3,2,1,3,10.030032398830032,10.053424478356416,10.053424478356416,33.7022
50301,horizontal,3,21,1,a-b-db,9,1,3,1,2,9.195433267319698,9.2308324215185,9.159396256314341,12.8456
50301,horizontal,3,22,1,a-b-da,9,1,3,1,2,9.047217323012255,8.928370482070653,8.887131907665182,6.89375
50301,horizontal,3,23,1,a-b-da,2,1,1,2,3,9.047217323012255,9.2308324215185,9.122697978977948,9.11134
50301,horizontal,3,29,1,a-b-da,14,3,3,2,1,10.209928872155912,10.14434922650993,10.18830703994748,9.7279
50301,horizontal,3,30,1,a-b-da,14,1,2,3,1,8.968775896705692,9.159396256314341,9.159396256314341,10.2951
50301,horizontal,3,32,1,a-b-da,9,3,1,3,2,9.908783155197163,9.858147539228584,9.982411101442596,11.2284
50301,horizontal,3,34,1,a-b-db,14,1,2,1,3,9.159396256314341,9.047217323012255,9.122697978977948,8.67786
50301,horizontal,3,37,1,a-b-da,5,1,3,2,1,9.299804773660838,9.122697978977948,9.159396256314341,10.8784
50301,horizontal,3,38,1,a-b-db,14,3,1,3,2,9.908783155197163,10.030032398830032,10.006363483536028,12.3455
50301,horizontal,4,3,1,a-b-db,5,1,1,3,2,8.968775896705692,9.085313712953644,9.008381151298051,11.2287
50301,horizontal,4,4,1,a-b-da,5,2,2,1,3,9.698062123881511,9.524039369902251,9.641720369948118,8.81094
50301,horizontal,4,8,1,a-b-da,9,3,1,3,2,9.982411101442596,9.982411101442596,10.053424478356416,12.8958
50301,horizontal,4,11,1,a-b-db,14,2,2,1,3,9.612942895043918,9.670089639932032,9.641720369948118,16.53
50301,horizontal,4,13,1,a-b-db,2,1,3,2,1,9.047217323012255,9.008381151298051,9.085313712953644,15.0463
50301,horizontal,4,14,1,a-b-da,14,3,3,1,2,10.053424478356416,10.030032398830032,10.030032398830032,15.7134
50301,horizontal,4,17,1,a-b-db,14,3,3,2,1,9.982411101442596,9.908783155197163,10.006363483536028,17.7472
50301,horizontal,4,18,1,a-b-da,5,1,1,3,2,8.845025089269518,8.887131907665182,8.75805486539004,8.84448
50301,horizontal,4,19,1,a-b-da,9,1,2,1,3,8.713109153685922,8.713109153685922,8.713109153685922,17.3636
50301,horizontal,4,20,1,a-b-da,2,1,1,3,2,8.667130117236525,8.75805486539004,8.802012678827591,13.413
50301,horizontal,4,21,1,a-b-db,9,3,3,2,1,9.933628195194277,10.030032398830032,9.958168380377906,16.4969
50301,horizontal,4,26,1,a-b-db,2,2,3,1,2,9.333419010293602,9.462496052568744,9.430999338632466,6.87708
50301,horizontal,4,27,1,a-b-db,9,1,1,2,3,8.845025089269518,8.928370482070653,8.845025089269518,6.76027
50301,horizontal,4,29,1,a-b-da,2,2,2,3,1,9.430999338632466,9.333419010293602,9.493504425640674,8.89426
50301,horizontal,4,30,1,a-b-da,2,3,1,2,3,9.858147539228584,10.053424478356416,10.030032398830032,13.8127
50301,horizontal,4,31,1,a-b-db,2,3,3,2,1,10.099403514805813,10.231319450389408,10.14434922650993,15.6131
50301,horizontal,4,32,1,a-b-da,14,1,2,1,3,9.008381151298051,8.887131907665182,8.845025089269518,13.0292
50301,horizontal,4,34,1,a-b-da,9,2,3,2,1,9.195433267319698,9.265615906942239,9.333419010293602,15.0797
50301,horizontal,4,35,1,a-b-da,5,3,3,2,1,9.933628195194277,9.832340729556767,9.982411101442596,12.9288
50301,horizontal,4,36,1,a-b-db,5,2,2,3,1,9.430999338632466,9.554115124631332,9.493504425640674,9.92862
