sub_n,disp_cond,block_n,trial_n,set,distance,diag,rsq,d,c,t
50301,horizontal,4,38,w,5,3,0.8887394290756992,30171.855845076363,23235.21926595011,26015.52876437708
50301,horizontal,4,39,h,14,2,0.8887394290756992,13273.228961416877,14957.122623740997,15393.80400258998
50301,horizontal,4,40,w,9,2,0.8887394290756992,12867.963509103793,12076.282160399154,11309.733552923257
50302,triangle,1,1,h,14,1,0.7952944239864123,7542.96396126909,8171.28249198705,8494.866535306803
50302,triangle,1,3,h,2,1,0.7952944239864123,10935.884027146063,10568.317686676066,11689.86626400761
50302,triangle,1,4,w,5,3,0.7952944239864123,24884.555409084758,23235.21926595011,23778.71479502116
50302,triangle,1,6,h,5,2,0.7952944239864123,18145.839167134658,14957.122623740997,18145.839167134658
50302,triangle,1,8,w,14,1,0.7952944239864123,10935.884027146063,10935.884027146063,12076.282160399154
50302,triangle,1,9,w,9,3,0.7952944239864123,18145.839167134658,16286.0163162095,17203.361371057705
50302,triangle,1,12,h,2,3,0.7952944239864123,18626.502843133872,17203.361371057705,19113.449704440314
50302,triangle,1,13,w,5,1,0.7952944239864123,8171.28249198705,7542.96396126909,7853.981633974479
50302,triangle,1,14,w,9,1,0.7952944239864123,8171.28249198705,8824.73376393373,7853.981633974479
50302,triangle,1,19,w,5,2,0.7952944239864123,15836.76856674616,16286.0163162095,15393.80400258998
50302,triangle,1,20,h,9,3,0.7952944239864123,22698.00692218624,26590.44021998399,27759.11268711943
50302,triangle,1,21,w,14,3,0.7952944239864123,22167.077763729583,23235.21926595011,23235.21926595011
50302,triangle,1,23,h,9,2,0.7952944239864123,21124.069002737757,19606.67975105391,21124.069002737757
50302,triangle,1,24,h,5,1,0.7952944239864123,12076.282160399154,11689.86626400761,12076.282160399154
50302,triangle,1,26,h,2,2,0.7952944239864123,21124.069002737757,17203.361371057705,17671.458676442588
50302,triangle,1,28,h,14,2,0.7952944239864123,19606.67975105391,17203.361371057705,21124.069002737757
